Release Date,Movie Title,Production Budget,Domestic Gross,Worldwide Gross,Profit,Profit%
4/6/2016,The Huntsman: Winter’s War,115000000,48003015,165149302,50149302,43.6080887
6/14/2002,Windtalkers,115000000,40914068,77628265,-37371735,-32.49716087
7/4/2008,Astérix aux Jeux Olympiques,113500000,999811,132999811,19499811,17.18045022
12/24/2010,Gulliver's Travels,112000000,42779261,232017848,120017848,107.1587929
12/8/2017,Ferdinand,111000000,84410380,289838913,178838913,161.1161378
5/11/2018,Deadpool 2,110000000,324591735,786362370,676362370,614.8748818
10/3/2013,Gravity,110000000,274092705,688214291,578214291,525.6493555
12/22/2006,Night at the Museum,110000000,250863268,579446407,469446407,426.7694609
9/30/2021,Venom: Let There be Carnage,110000000,211047187,482241132,372241132,338.4010291
6/10/2005,Mr. and Mrs. Smith,110000000,186336279,486124090,376124090,341.9309909
5/27/2015,San Andreas,110000000,155190832,456258539,346258539,314.78049
7/29/2011,The Smurfs,110000000,142614158,563749323,453749323,412.4993845
